City_ID,City,Country,Lat,Lng,Max Temp (F),% Humidity,% Cloudiness,Wind Speed (mph),Current Description,Rain (inches),Snow (inches)
0,Bredasdorp,ZA,-34.53,20.04,55.4,76,1,6.93,clear sky,0.0,0.0
1,Port Alfred,ZA,-33.59,26.89,59.0,68,6,8.01,clear sky,0.0,0.0
2,Kaka,TM,37.35,59.61,73.18,19,0,6.42,clear sky,0.0,0.0
3,Mar Del Plata,AR,-38.0,-57.56,51.01,66,40,3.36,scattered clouds,0.0,0.0
4,Teya,RU,60.38,92.63,54.0,85,87,3.98,overcast clouds,0.0,0.0
5,Alofi,NU,-19.06,-169.92,75.2,88,89,5.82,overcast clouds,0.0,0.0
6,Rio Grande,BR,-32.03,-52.1,57.2,58,51,9.17,broken clouds,0.0,0.0
7,Juegang,CN,32.32,121.19,78.01,98,100,17.49,moderate rain,3.0,0.0
8,Ormara,PK,25.21,64.64,85.06,82,92,16.06,overcast clouds,0.0,0.0
9,Vanimo,PG,-2.67,141.3,78.22,84,100,4.54,light rain,0.94,0.0
10,Esperance,AU,-33.87,121.9,60.8,72,67,20.8,broken clouds,0.0,0.0
11,Saint-Philippe,RE,-21.36,55.77,68.0,77,40,6.93,light rain,0.17,0.0
12,Lannion,FR,48.75,-3.42,59.0,76,90,16.11,overcast clouds,0.0,0.0
13,Tura,IN,25.52,90.22,74.5,98,89,6.89,moderate rain,1.33,0.0
14,Yellowknife,CA,62.46,-114.35,66.0,42,40,17.22,scattered clouds,0.0,0.0
15,Labe,GN,11.32,-12.28,70.0,96,88,4.59,overcast clouds,0.0,0.0
16,Kupang,ID,-10.17,123.58,73.83,84,96,8.88,overcast clouds,0.0,0.0
17,Cape Coast,GH,5.11,-1.25,76.68,87,85,13.69,overcast clouds,0.0,0.0
18,Bluff,NZ,-46.6,168.33,49.87,80,100,18.23,light rain,0.26,0.0
19,Bambanglipuro,ID,-7.95,110.28,75.22,89,34,5.91,scattered clouds,0.0,0.0
20,Faanui,PF,-16.48,-151.75,76.33,75,100,21.79,overcast clouds,0.0,0.0
21,Sorland,NO,67.67,12.69,60.8,67,39,14.99,scattered clouds,0.0,0.0
22,Westport,US,41.14,-73.36,80.01,78,1,10.29,clear sky,0.0,0.0
23,Longyearbyen,SJ,78.22,15.64,44.6,67,40,11.41,scattered clouds,0.0,0.0
24,New Norfolk,AU,-42.78,147.06,41.0,91,4,2.71,clear sky,0.0,0.0
25,Porto Novo,BJ,6.5,2.6,78.8,88,40,16.11,scattered clouds,0.0,0.0
26,Rikitea,PF,-23.12,-134.97,68.11,64,0,19.86,clear sky,0.0,0.0
27,Busselton,AU,-33.65,115.33,55.0,54,16,25.66,light rain,0.43,0.0
28,Cherskiy,RU,68.75,161.3,43.75,62,62,6.08,broken clouds,0.0,0.0
29,Panjakent,TJ,39.5,67.61,68.0,28,48,11.41,scattered clouds,0.0,0.0
30,Kenora,CA,49.82,-94.43,84.2,42,40,10.29,scattered clouds,0.0,0.0
31,Thompson,CA,55.74,-97.86,59.0,93,90,9.17,light intensity shower rain,0.0,0.0
32,Kaitangata,NZ,-46.28,169.85,43.0,74,100,5.01,overcast clouds,0.0,0.0
33,Jamestown,US,42.1,-79.24,78.01,60,90,11.41,overcast clouds,0.0,0.0
34,Vila Franca Do Campo,PT,37.72,-25.43,71.6,78,40,5.82,scattered clouds,0.0,0.0
35,Sessa Aurunca,IT,41.24,13.93,77.0,88,0,5.82,clear sky,0.0,0.0
36,Mataura,NZ,-46.19,168.86,42.53,93,100,4.09,light rain,0.21,0.0
37,Hilo,US,19.73,-155.09,77.0,88,90,8.05,light rain,0.76,0.0
38,Altay,CN,47.87,88.12,53.42,52,83,2.77,broken clouds,0.0,0.0
39,Punta Arenas,CL,-53.15,-70.92,37.4,64,3,1.12,clear sky,0.0,0.0
40,Najran,SA,17.49,44.13,91.4,21,40,2.24,scattered clouds,0.0,0.0
41,Hobart,AU,-42.88,147.33,42.8,81,0,10.29,clear sky,0.0,0.0
42,Bozhou,CN,33.88,115.77,70.54,93,100,13.78,overcast clouds,0.0,0.0
43,Usinsk,RU,65.99,57.53,41.7,87,100,8.77,overcast clouds,0.0,0.0
44,Nishihara,JP,26.18,127.76,82.4,88,40,11.41,scattered clouds,0.0,0.0
45,Mandalgovi,MN,45.76,106.27,60.46,70,100,7.05,overcast clouds,0.0,0.0
46,Kodiak,US,57.79,-152.41,57.2,62,20,11.41,few clouds,0.0,0.0
47,Provideniya,RU,64.38,-173.3,41.0,80,90,15.66,light intensity shower rain,0.0,0.0
48,Chuy,UY,-33.7,-53.46,51.42,73,96,3.15,overcast clouds,0.0,0.0
49,Avarua,CK,-21.21,-159.78,75.2,64,51,14.99,broken clouds,0.0,0.0
50,Klyuchi,RU,52.27,79.17,57.97,53,0,14.94,clear sky,0.0,0.0
51,Kapaa,US,22.08,-159.32,82.0,83,75,5.82,broken clouds,0.0,0.0
52,Charters Towers,AU,-20.1,146.27,60.04,91,91,6.38,overcast clouds,0.0,0.0
53,Olinda,BR,-8.01,-34.86,75.2,94,75,6.93,moderate rain,0.0,0.0
54,Fortuna,US,40.6,-124.16,64.0,59,20,25.28,few clouds,0.0,0.0
55,Srednekolymsk,RU,67.45,153.68,53.82,44,99,7.63,overcast clouds,0.0,0.0
56,Butaritari,KI,3.07,172.79,82.49,75,34,14.67,scattered clouds,0.0,0.0
57,Lebu,CL,-37.62,-73.65,53.82,93,82,14.16,light rain,0.66,0.0
58,Ilo,PE,-17.64,-71.34,65.1,70,21,7.63,few clouds,0.0,0.0
59,Yangjiang,CN,21.85,111.97,79.54,89,85,5.57,light rain,0.12,0.0
60,Klaksvik,FO,62.23,-6.59,57.2,71,99,16.11,overcast clouds,0.0,0.0
61,Serra,BR,-20.13,-40.31,73.4,73,75,12.75,broken clouds,0.0,0.0
62,Nome,US,64.5,-165.41,45.0,87,90,10.2,light rain,0.0,0.0
63,Amparafaravola,MG,-17.58,48.22,58.84,94,39,2.04,scattered clouds,0.0,0.0
64,Alyangula,AU,-13.85,136.42,62.6,93,88,3.36,overcast clouds,0.0,0.0
65,Ust-Kalmanka,RU,52.12,83.31,55.87,60,100,7.27,overcast clouds,0.0,0.0
66,Sur,OM,22.57,59.53,85.73,71,35,17.76,scattered clouds,0.0,0.0
67,Vredendal,ZA,-31.67,18.5,52.63,81,0,4.76,clear sky,0.0,0.0
68,Ushuaia,AR,-54.8,-68.3,37.4,74,75,16.11,broken clouds,0.0,0.0
69,Telimele,GN,10.92,-13.33,75.61,92,89,2.73,overcast clouds,0.0,0.0
70,Kruisfontein,ZA,-34.0,24.73,53.1,77,58,12.5,broken clouds,0.0,0.0
71,Torbay,CA,47.67,-52.73,70.0,87,90,8.05,overcast clouds,0.0,0.0
72,Lenger,KZ,42.18,69.88,60.8,36,0,8.95,clear sky,0.0,0.0
73,Usolye,RU,59.43,56.68,45.0,98,100,6.4,overcast clouds,0.0,0.0
74,Kavieng,PG,-2.57,150.8,82.58,79,51,12.62,light rain,0.43,0.0
75,Scottsbluff,US,41.87,-103.67,93.2,18,1,6.93,clear sky,0.0,0.0
76,Albany,US,42.6,-73.97,73.0,91,100,7.4,moderate rain,1.52,0.0
77,Rabo De Peixe,PT,37.8,-25.58,71.6,78,40,5.82,scattered clouds,0.0,0.0
78,Lata,PT,40.16,-8.33,73.0,78,0,5.01,clear sky,0.0,0.0
