,City,Country,Max Temp (F),Current Description,Lat,Lng,Hotel Name
2,Kaka,TM,73.18,clear sky,37.35,59.61,
5,Alofi,NU,75.2,overcast clouds,-19.06,-169.92,Taloa Heights
8,Ormara,PK,85.06,overcast clouds,25.21,64.64,
15,Labe,GN,70.0,overcast clouds,11.32,-12.28,Hôtel Djamtum
16,Kupang,ID,73.83,overcast clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
17,Cape Coast,GH,76.68,overcast clouds,5.11,-1.25,Samrit Hotel
19,Bambanglipuro,ID,75.22,scattered clouds,-7.95,110.28,Puri Brata
20,Faanui,PF,76.33,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
22,Westport,US,80.01,clear sky,41.14,-73.36,The Westport Inn
25,Porto Novo,BJ,78.8,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
30,Kenora,CA,84.2,scattered clouds,49.82,-94.43,Maynard Lake Lodge
33,Jamestown,US,78.01,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
34,Vila Franca Do Campo,PT,71.6,scattered clouds,37.72,-25.43,Pestana Bahia Praia
35,Sessa Aurunca,IT,77.0,clear sky,41.24,13.93,Hotel San Leo - Sessa Aurunca Ce
42,Bozhou,CN,70.54,overcast clouds,33.88,115.77,Haitian Hotel
44,Nishihara,JP,82.4,scattered clouds,26.18,127.76,Minshuku Agaihama
49,Avarua,CK,75.2,broken clouds,-21.21,-159.78,Paradise Inn
51,Kapaa,US,82.0,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
53,Olinda,BR,75.2,moderate rain,-8.01,-34.86,Hotel 5 Sóis
56,Butaritari,KI,82.49,scattered clouds,3.07,172.79,Isles Sunset Lodge
61,Serra,BR,73.4,broken clouds,-20.13,-40.31,Interior do Estado do Espirito Santo
66,Sur,OM,85.73,scattered clouds,22.57,59.53,Sur Plaza Hotel
69,Telimele,GN,75.61,overcast clouds,10.92,-13.33,
71,Torbay,CA,70.0,overcast clouds,47.67,-52.73,Gallows Cove
77,Rabo De Peixe,PT,71.6,scattered clouds,37.8,-25.58,Quinta das Giestas
78,Lata,PT,73.0,clear sky,40.16,-8.33,Casa Maquia
82,Tucurui,BR,85.87,clear sky,-3.77,-49.67,BBB Rooms Centro Tucurui PA
86,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
87,Hithadhoo,MV,85.21,scattered clouds,-0.6,73.08,Scoop Guest House
89,Puerto Ayora,EC,84.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
90,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
98,Bose,IT,77.0,scattered clouds,45.46,8.01,Locanda Borgo Antico
99,San Miguel,SV,89.6,scattered clouds,13.48,-88.18,Excalibur
102,La Orilla,MX,87.89,clear sky,17.98,-102.23,Baymont by Wyndham Lazaro Cardenas
104,Durusu,TR,75.0,scattered clouds,41.31,28.68,Çınar Pansiyon
107,Abha,SA,80.6,overcast clouds,18.22,42.51,Abha Hotel
109,Qinzhou,CN,81.3,overcast clouds,21.95,108.62,Jinjiang Inn Style Qingzhou Walmart
112,Wyoming,US,73.99,overcast clouds,43.0,-107.5,
117,Bengkulu,ID,76.51,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
119,Chanute,US,87.8,broken clouds,37.68,-95.46,Guest House Motel Chanute
120,Chapais,CA,71.6,scattered clouds,49.78,-74.85,Hôtel Opémiska
122,Sao Filipe,CV,76.46,clear sky,14.9,-24.5,Tortuga B&B
123,Nantucket,US,71.6,few clouds,41.28,-70.1,Jared Coffin House
125,Sokoni,TZ,78.8,few clouds,-6.43,39.55,Ujamaa Beach Resort
129,Pemangkat,ID,76.05,overcast clouds,1.17,108.97,Kost H.Syamsuddin
133,Marsh Harbour,BS,83.57,overcast clouds,26.54,-77.06,Abaco Beach Resort
135,Manggar,ID,81.05,scattered clouds,-2.88,108.27,Guest Hotel
136,Kieta,PG,79.61,few clouds,-6.22,155.63,
141,Manta,EC,78.8,overcast clouds,-0.95,-80.73,Balandra Hotel
151,Ambon,ID,79.0,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
157,Pa Sang,TH,80.6,scattered clouds,18.53,98.94,โรงแรม จามจุรี 99
159,Hami,CN,80.94,clear sky,42.8,93.45,Laoyutang Resort
161,Keti Bandar,PK,86.94,broken clouds,24.14,67.45,Haji laloo memon house
162,Ribeira Grande,PT,71.6,broken clouds,38.52,-28.7,Quinta da Meia Eira
163,Steti,CZ,73.0,scattered clouds,50.45,14.37,"HOTEL TEREK / Štětí, Steti, ubytovna, hotels, hotely, ubytování Štětí, hotel Štětí, ubytovna Štětí, pokoje, hotel, hotely /"
164,Touros,BR,82.4,scattered clouds,-5.2,-35.46,INN NEW HORIZON
165,Umm Lajj,SA,88.84,clear sky,25.02,37.27,Moon light Furnished Units
